gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
1,group E,bachelor's degree,free/reduced,none,63,56,56
0,group C,some college,standard,none,64,67,68
1,group E,high school,standard,none,100,82,80
1,group C,associate's degree,standard,none,66,65,65
1,group E,bachelor's degree,standard,none,87,87,84
1,group C,high school,standard,none,73,72,69
1,group C,master's degree,free/reduced,completed,69,66,65
0,group C,high school,standard,none,62,64,63
0,group C,some high school,standard,none,40,48,49
1,group C,some college,free/reduced,completed,55,68,60
1,group D,high school,standard,completed,77,77,78
1,group D,some college,standard,completed,63,70,71
1,group D,associate's degree,standard,completed,85,85,91
0,group B,high school,free/reduced,none,30,43,40
1,group B,high school,standard,none,82,77,71
1,group D,associate's degree,free/reduced,completed,81,71,70
0,group C,some high school,standard,completed,92,100,97
1,group B,some college,free/reduced,none,50,48,36
0,group B,associate's degree,standard,none,54,60,56
1,group C,associate's degree,standard,completed,76,83,78
0,group D,some high school,standard,none,60,68,74
0,group A,associate's degree,free/reduced,completed,45,72,66
1,group D,high school,standard,none,80,77,72
1,group D,some high school,free/reduced,none,52,45,48
0,group C,high school,standard,completed,90,89,97
0,group D,high school,free/reduced,none,53,65,69
0,group C,associate's degree,standard,none,92,95,95
0,group C,some college,standard,completed,63,78,75
0,group B,some high school,standard,none,71,77,79
0,group D,some high school,standard,none,64,70,73
0,group C,some college,standard,completed,67,81,89
1,group C,high school,free/reduced,none,63,63,61
1,group B,high school,standard,none,63,53,44
1,group C,some high school,standard,none,59,49,46
1,group E,high school,standard,none,49,43,35
0,group D,master's degree,standard,none,75,84,86
0,group C,some high school,free/reduced,none,34,47,45
0,group B,associate's degree,free/reduced,none,53,70,69
1,group B,master's degree,standard,none,63,56,60
1,group C,associate's degree,standard,none,75,69,65
1,group E,associate's degree,free/reduced,none,63,61,62
0,group C,high school,standard,none,70,72,75
0,group C,some college,standard,none,61,73,70
1,group C,associate's degree,standard,none,74,61,59
1,group D,associate's degree,free/reduced,none,57,49,48
1,group C,some high school,free/reduced,completed,41,52,47
1,group D,some high school,standard,none,87,80,76
1,group C,high school,free/reduced,none,69,71,62
1,group C,associate's degree,free/reduced,none,69,77,70
1,group D,high school,standard,completed,58,56,56
0,group B,some college,free/reduced,completed,47,69,62
1,group D,associate's degree,standard,completed,78,69,71
0,group B,some college,free/reduced,completed,54,61,71
1,group C,some college,free/reduced,none,36,27,26
1,group B,bachelor's degree,standard,completed,94,92,92
0,group D,associate's degree,free/reduced,none,68,84,80
0,group E,high school,standard,none,90,88,84
1,group A,some college,standard,none,57,57,53
1,group D,some college,standard,completed,96,95,90
1,group B,some high school,standard,completed,68,63,62
0,group C,some high school,standard,completed,52,64,63
1,group E,associate's degree,standard,none,90,76,73
1,group C,some college,free/reduced,completed,71,82,75
0,group C,some college,free/reduced,completed,58,69,74
1,group C,some high school,free/reduced,none,41,39,34
1,group D,some high school,standard,completed,43,37,43
1,group D,high school,standard,none,85,70,71
1,group B,some high school,standard,none,71,72,69
0,group A,high school,standard,none,72,70,72
1,group D,associate's degree,free/reduced,none,70,62,66
0,group D,bachelor's degree,standard,none,89,100,100
0,group E,high school,standard,none,92,86,82
1,group E,some college,free/reduced,completed,80,79,81
1,group C,some high school,standard,none,80,70,60
0,group B,high school,standard,none,56,64,59
1,group E,high school,free/reduced,none,93,86,73
1,group C,associate's degree,free/reduced,completed,49,37,41
0,group E,master's degree,standard,none,59,57,58
0,group C,some high school,standard,completed,64,74,75
1,group D,some high school,standard,none,73,66,59
0,group B,some college,standard,completed,82,86,90
1,group D,high school,free/reduced,none,48,43,41
0,group A,some high school,free/reduced,completed,51,64,62
0,group E,some high school,free/reduced,completed,38,46,43
1,group B,some college,free/reduced,none,45,50,42
0,group A,some college,standard,completed,83,92,95
0,group B,some high school,standard,completed,45,57,56
1,group D,high school,free/reduced,none,66,64,62
1,group D,high school,free/reduced,completed,60,62,57
1,group C,associate's degree,standard,none,49,47,49
1,group D,bachelor's degree,standard,none,80,84,86
1,group E,high school,standard,none,75,68,66
1,group B,some college,free/reduced,completed,57,68,61
0,group B,some high school,free/reduced,none,25,36,37
1,group E,some college,free/reduced,none,90,87,81
0,group D,some college,standard,none,63,70,71
1,group E,associate's degree,standard,none,100,91,86
1,group C,associate's degree,free/reduced,none,76,68,66
0,group B,some high school,free/reduced,none,52,58,53
0,group B,master's degree,standard,completed,81,86,93
1,group C,associate's degree,standard,completed,90,89,87
1,group D,associate's degree,standard,none,83,82,81
0,group B,high school,standard,none,61,73,69
0,group E,associate's degree,standard,completed,79,69,75
1,group B,some college,standard,none,52,53,51
0,group B,bachelor's degree,standard,completed,62,65,67
0,group D,some college,standard,none,85,90,84
0,group E,high school,free/reduced,completed,74,96,95
1,group C,associate's degree,free/reduced,none,83,85,78
1,group C,some college,standard,none,78,72,72
0,group C,high school,free/reduced,none,41,43,40
0,group A,high school,standard,none,77,91,87
1,group C,bachelor's degree,standard,none,95,99,91
0,group B,high school,free/reduced,none,50,68,66
1,group C,some college,standard,none,74,76,70
0,group D,bachelor's degree,standard,completed,74,93,93
1,group E,high school,standard,none,70,62,61
1,group D,associate's degree,free/reduced,none,61,59,54
0,group A,master's degree,standard,completed,94,100,100
0,group D,high school,standard,none,66,84,77
0,group D,master's degree,standard,none,83,88,93
1,group D,high school,standard,none,75,63,60
1,group D,high school,free/reduced,completed,56,65,63
0,group B,some college,free/reduced,none,66,88,83
0,group B,high school,free/reduced,none,61,69,66
1,group C,some high school,standard,completed,70,79,73
1,group C,master's degree,standard,none,57,59,53
0,group C,associate's degree,free/reduced,completed,78,89,90
0,group C,some high school,standard,none,62,76,67
1,group C,some high school,standard,completed,64,53,49
0,group B,high school,free/reduced,none,55,66,65
0,group D,some college,standard,none,72,83,83
1,group A,some college,free/reduced,none,49,48,42
0,group D,some college,standard,none,62,60,63
1,group B,some high school,free/reduced,none,76,73,68
0,group C,master's degree,standard,completed,73,86,85
0,group C,associate's degree,standard,completed,72,76,78
1,group C,high school,standard,none,85,85,76
1,group A,some college,free/reduced,none,71,68,65
0,group C,some high school,free/reduced,none,28,38,31
1,group C,high school,free/reduced,none,41,42,38
1,group E,associate's degree,standard,none,78,72,68
1,group C,master's degree,free/reduced,none,48,52,44
1,group C,associate's degree,free/reduced,none,38,51,47
0,group A,bachelor's degree,standard,completed,91,100,100
0,group D,bachelor's degree,standard,none,71,81,80
0,group D,bachelor's degree,standard,none,84,87,92
1,group E,associate's degree,free/reduced,completed,63,60,63
0,group A,associate's degree,standard,completed,70,78,87
1,group B,bachelor's degree,free/reduced,completed,48,52,57
1,group D,some high school,standard,completed,68,72,73
0,group D,some college,standard,none,84,84,87
1,group D,high school,standard,none,61,62,60
1,group C,some high school,free/reduced,none,62,59,62
0,group C,master's degree,free/reduced,none,66,78,83
0,group C,high school,standard,completed,52,65,71
0,group D,some college,standard,completed,68,75,73
1,group D,some college,free/reduced,completed,62,68,71
1,group E,bachelor's degree,standard,completed,90,88,84
0,group A,master's degree,free/reduced,none,42,50,44
1,group D,associate's degree,free/reduced,completed,74,90,89
1,group B,associate's degree,standard,completed,62,61,61
1,group C,some college,standard,none,56,55,50
1,group C,high school,free/reduced,none,64,52,54
1,group D,high school,standard,completed,79,84,80
0,group C,some high school,standard,none,44,65,63
0,group B,some college,standard,completed,69,94,87
1,group A,some college,standard,none,53,48,48
1,group C,high school,standard,none,74,69,61
1,group C,associate's degree,standard,none,49,55,48
0,group D,associate's degree,free/reduced,none,57,71,71
0,group D,master's degree,standard,none,61,72,64
0,group C,master's degree,free/reduced,none,65,88,84
0,group C,some college,standard,none,51,60,52
0,group C,some high school,standard,none,49,51,41
1,group B,master's degree,free/reduced,none,56,65,56
1,group D,associate's degree,standard,none,65,62,63
1,group D,some college,standard,none,70,64,62
1,group D,some college,standard,none,91,95,88
0,group D,high school,standard,completed,48,56,64
0,group C,associate's degree,standard,completed,94,99,100
1,group B,master's degree,standard,none,77,76,73
0,group D,some high school,standard,none,59,78,75
0,group C,some college,free/reduced,none,57,75,70
0,group C,some high school,standard,none,76,82,74
1,group D,high school,standard,none,65,63,64
0,group B,master's degree,standard,completed,75,75,83
1,group D,master's degree,standard,none,70,66,65
1,group C,high school,standard,completed,79,79,70
1,group E,associate's degree,standard,completed,100,100,100
0,group A,bachelor's degree,standard,completed,83,96,99
0,group C,associate's degree,free/reduced,none,70,84,78
1,group E,some high school,standard,completed,97,80,88
0,group E,high school,free/reduced,none,33,32,35
1,group B,master's degree,free/reduced,none,38,40,41
1,group C,some college,standard,completed,46,51,47
0,group D,some college,free/reduced,none,13,36,37
1,group A,master's degree,standard,none,85,83,78
0,group B,some college,standard,none,79,79,80
0,group B,some high school,standard,none,76,81,79
0,group C,some high school,free/reduced,completed,53,70,65
1,group A,high school,standard,completed,68,70,63
1,group D,associate's degree,free/reduced,completed,67,70,70
1,group E,some college,standard,completed,100,84,88
1,group C,associate's degree,free/reduced,none,54,48,45
0,group E,associate's degree,free/reduced,none,72,73,70
1,group A,some college,standard,completed,91,97,95
1,group D,master's degree,standard,completed,87,81,86
0,group D,associate's degree,free/reduced,none,66,75,74
1,group C,some high school,standard,none,65,66,64
0,group E,associate's degree,free/reduced,completed,41,56,53
0,group C,associate's degree,standard,none,67,69,65
1,group E,high school,standard,none,94,89,86
0,group B,bachelor's degree,free/reduced,completed,57,70,68
1,group A,high school,standard,none,89,83,80
1,group A,associate's degree,standard,completed,77,73,80
1,group C,some high school,standard,none,57,60,50
1,group D,some college,standard,completed,72,72,72
1,group D,bachelor's degree,standard,completed,98,94,95
0,group D,master's degree,standard,none,87,97,100
1,group C,some high school,free/reduced,none,61,57,55
0,group C,master's degree,standard,none,85,100,97
0,group D,some high school,standard,none,81,85,91
0,group D,high school,standard,completed,74,84,79
1,group C,bachelor's degree,standard,none,98,92,90
0,group D,some college,standard,none,86,84,89
1,group C,bachelor's degree,standard,completed,85,81,82
1,group C,some college,standard,none,68,71,63
0,group E,high school,free/reduced,completed,66,78,77
1,group B,some high school,free/reduced,completed,75,74,71
1,group C,bachelor's degree,standard,none,79,57,58
0,group B,bachelor's degree,free/reduced,none,59,85,82
1,group B,master's degree,free/reduced,none,60,62,58
1,group D,high school,standard,none,69,60,54
0,group B,high school,free/reduced,none,49,54,58
1,group D,some college,standard,none,62,44,52
0,group E,high school,free/reduced,completed,70,84,83
1,group D,bachelor's degree,standard,none,71,57,60
1,group C,bachelor's degree,standard,none,71,69,65
0,group C,some high school,free/reduced,none,50,59,54
0,group B,high school,standard,none,52,55,57
1,group E,some college,free/reduced,completed,75,65,66
0,group C,bachelor's degree,standard,none,51,64,63
1,group C,some high school,standard,none,64,48,50
0,group A,some college,free/reduced,completed,65,76,72
1,group B,master's degree,standard,none,99,81,87
0,group B,associate's degree,standard,none,60,62,58
0,group B,some college,standard,none,70,78,80
1,group A,some college,standard,completed,77,76,77
1,group B,high school,free/reduced,none,37,28,23
1,group E,associate's degree,free/reduced,none,73,73,61
0,group B,associate's degree,free/reduced,completed,53,74,75
0,group B,associate's degree,standard,none,67,58,62
0,group B,some college,free/reduced,none,67,79,80
1,group B,high school,free/reduced,none,51,57,50
1,group D,high school,standard,completed,64,71,70
1,group E,some college,free/reduced,none,55,42,43
1,group D,associate's degree,free/reduced,completed,55,39,51
1,group E,associate's degree,standard,none,86,77,78
0,group B,master's degree,standard,none,71,88,85
1,group C,high school,free/reduced,none,71,63,64
0,group C,some high school,free/reduced,none,51,67,69
0,group E,some college,standard,completed,75,76,85
1,group C,some high school,free/reduced,none,45,31,27
1,group B,some high school,standard,none,59,54,48
0,group E,high school,free/reduced,none,64,69,68
1,group A,some college,standard,completed,78,69,73
1,group D,high school,free/reduced,none,59,61,58
1,group E,bachelor's degree,free/reduced,none,80,70,71
1,group B,associate's degree,standard,completed,68,82,77
0,group B,associate's degree,standard,none,77,81,79
1,group C,high school,standard,none,66,67,64
0,group C,some college,free/reduced,completed,26,44,46
1,group D,some college,standard,completed,80,66,69
0,group D,some high school,free/reduced,none,48,62,61
0,group A,associate's degree,standard,none,52,64,55
0,group D,master's degree,free/reduced,none,54,64,64
0,group C,some college,standard,completed,59,68,67
1,group D,high school,standard,none,77,62,65
0,group B,some college,free/reduced,none,64,70,69
1,group D,high school,standard,none,83,72,68
1,group E,high school,free/reduced,none,70,73,69
1,group C,some high school,standard,none,72,68,67
0,group B,associate's degree,standard,none,83,78,79
0,group B,associate's degree,standard,none,52,58,57
0,group C,some college,free/reduced,completed,53,73,74
1,group D,some college,standard,none,55,55,55
1,group C,associate's degree,standard,none,65,63,61
0,group E,some high school,standard,none,60,67,64
1,group E,high school,free/reduced,completed,64,62,59
1,group C,associate's degree,standard,none,71,72,69
1,group C,bachelor's degree,free/reduced,completed,61,71,65
1,group D,associate's degree,standard,none,61,55,58
0,group C,master's degree,standard,none,65,74,79
0,group D,some high school,standard,completed,71,83,89
1,group E,associate's degree,free/reduced,none,48,49,44
1,group E,high school,free/reduced,completed,75,80,75
1,group D,associate's degree,free/reduced,none,54,66,65
0,group C,master's degree,standard,none,70,64,65
1,group D,some high school,standard,none,91,77,72
0,group D,some high school,standard,completed,33,44,50
0,group B,high school,standard,none,45,50,41
1,group A,high school,free/reduced,none,45,33,32
1,group D,bachelor's degree,free/reduced,none,62,61,57
1,group E,associate's degree,free/reduced,completed,92,79,77
0,group D,some college,standard,none,74,75,79
0,group C,high school,standard,completed,81,79,83
1,group C,associate's degree,free/reduced,none,76,71,66
0,group C,associate's degree,standard,completed,57,72,73
1,group A,some college,free/reduced,none,63,61,55
0,group D,high school,standard,completed,57,62,73
0,group B,some college,standard,completed,46,65,64
1,group E,some high school,free/reduced,completed,49,50,45
0,group D,some high school,standard,none,54,60,65
1,group C,some high school,standard,completed,89,87,90
1,group D,bachelor's degree,standard,completed,77,70,78
0,group C,bachelor's degree,standard,none,46,63,60
1,group B,associate's degree,standard,completed,66,59,70
0,group C,high school,standard,none,48,63,53
1,group D,associate's degree,standard,completed,83,76,81
1,group C,high school,standard,completed,69,75,74
1,group E,bachelor's degree,free/reduced,none,73,52,54
0,group D,some college,standard,none,43,59,59
1,group D,master's degree,standard,completed,91,84,83
1,group C,associate's degree,standard,completed,49,58,55
1,group B,master's degree,standard,none,87,86,84
1,group B,some high school,standard,completed,46,46,44
0,group D,some high school,standard,completed,63,61,71
1,group E,bachelor's degree,standard,none,100,83,86
0,group E,bachelor's degree,standard,none,86,87,89
0,group A,some high school,free/reduced,completed,55,73,70
0,group E,master's degree,free/reduced,none,84,100,99
0,group B,some high school,free/reduced,none,39,51,48
1,group B,high school,standard,none,67,57,52
0,group D,some high school,standard,completed,85,100,97
1,group C,some high school,standard,none,64,51,44
0,group E,associate's degree,standard,none,81,77,74
1,group C,associate's degree,standard,none,78,71,67
0,group B,some high school,standard,none,59,59,58
1,group C,associate's degree,standard,none,74,76,70
0,group B,some college,free/reduced,completed,31,29,35
0,group C,some high school,free/reduced,completed,54,55,65
1,group C,high school,free/reduced,none,51,51,45
0,group B,bachelor's degree,free/reduced,completed,57,65,68
0,group C,some high school,free/reduced,none,39,50,49
1,group C,some college,standard,none,64,48,48
1,group C,master's degree,free/reduced,completed,69,79,72
1,group A,some high school,standard,none,58,50,47
0,group D,high school,standard,none,63,71,75
1,group E,associate's degree,standard,none,74,73,67
1,group E,some college,free/reduced,none,78,84,77
1,group A,some college,standard,completed,78,78,74
0,group B,some college,standard,none,75,76,81
1,group D,some college,standard,completed,70,60,65
1,group D,some college,standard,none,67,55,53
0,group C,associate's degree,standard,none,87,93,88
1,group C,some college,standard,none,69,63,66
0,group A,associate's degree,standard,none,58,54,58
1,group E,high school,free/reduced,completed,86,82,75
1,group C,high school,standard,none,73,70,65
1,group D,associate's degree,free/reduced,completed,85,91,92
0,group C,some high school,free/reduced,none,32,35,41
0,group C,some college,standard,none,73,74,82
1,group A,some college,standard,completed,65,60,62
